title;authors;country;genre;anthology;type;language_original;language_read;rating;dates_read
Tales of Terror: 58 Short Stories Chosen by the Master of Suspense;Talmage Powell, Edward Wellen, Robert Colby, Theodore Mathieson, Bob Bristow, Richard O. Lewis, John Coyne, Charlotte Edwards, Bryce Walton, Michael Brett, Samuel W. Taylor, Brian Garfield, Harold Q. Masur, John Lutz, Betty Ren Wright, Michael Zuroy, Alice Scanlan Reach, Arthur Porges, Clayton Matthews, James M. Gilmore, Alfred Hitchcock, Al Nussbaum, Robert W. Alexander, Pauline C. Smith, Nedra Tyre, Donald Olson, William Brittain, Vincent McConnor, John F. Suter, Gary Brandner, Patricia Matthews, Mary Braund, Nelson DeMille, William P. McGivern, James Holding, Stephen Wasylyk, Barry N. Malzberg, Isak Romun, S.S. Rafferty, Helen Nielsen, Fletcher Flora, Irving Schiffer, Margaret B. Maron, Borden Deal, Libby MacCall, Jack Ritchie, Frank Sisk, Eleanor Sullivan, Hal Ellson, Donald Honig;United Kingdom, United States;Thriller;Yes;Fiction;English;English;;2014
The Crowd: Study of the Popular Mind;Gustave Le Bon;France;Sociology;No;Nonfiction;French;Chinese;;2014
Good to Great: Why Some Companies Make the Leap...and Others Don't;Jim Collins;United States;Economics, Sociology;No;Nonfiction;English;English;;2014
The Interpretation of Dreams;Sigmund Freud;Austria;Psychology;No;Nonfiction;German;Chinese;;2014
The Decline of the West;Oswald Spengler;Germany;History;No;Nonfiction;German;Chinese;;2014
The Revolt of the Masses;José Ortega y Gasset;Spain;Sociology, Psychology;No;Nonfiction;Spanish;Chinese;;2014
Confessions;Saint Augustine of Hippo;Algeria;Philosophy, Religion;No;Nonfiction;Latin;English;;2014
Time and Free Will;Henri Bergson;France;Philosophy;No;Nonfiction;French;Chinese;;2014
The Book of Life: Daily Meditations with Krishnamurti;J. Krishnamurti;India;Philosophy;No;Nonfiction;English;Chinese;;2014
Flatland: A Romance in Many Dimensions;Edwin A. Abbott;United Kingdom;Science Fiction;No;Fiction;English;Chinese;;2014
Tractatus Logico-Philosophicus;Ludwig Wittgenstein;Austria, United Kingdom;Philosophy;No;Nonfiction;German;Chinese;;2014
Gothic Architecture and Scholasticism;Erwin Panofsky;Germany, United States;Architecture, Philosophy, History;No;Nonfiction;English;English;;2014
