country;city;coordinates;start_date;end_date;notes
Belarus;Minsk;53.9006° N, 27.5590° E;2020-02-22;2020-02-23;
Belarus;Dudutki;53.5962° N, 27.6832° E;2020-02-23;2020-02-23;
Belarus;Minsk;53.9006° N, 27.5590° E;2020-02-23;2020-02-24;
United Kingdom;Cardiff;51.4837° N, 3.1681° W;2020-02-24;2020-03-09;
United Kingdom;Bath;51.3781° N, 2.3597° W;2020-03-09;2020-03-09;
United Kingdom;Cardiff;51.4837° N, 3.1681° W;2020-03-09;2020-08-02;
United Kingdom;London;51.5072° N, 0.1276° W;2020-08-02;2020-08-16;
United Kingdom;Cardiff;51.4837° N, 3.1681° W;2020-08-16;2020-08-17;
United Kingdom;Bath;51.3781° N, 2.3597° W;2020-08-17;2020-08-17;
United Kingdom;Cardiff;51.4837° N, 3.1681° W;2020-08-17;2020-08-19;
United Kingdom;Edinburgh;55.9533° N, 3.1883° W;2020-08-19;2020-08-22;
United Kingdom;York;53.9614° N, 1.0739° W;2020-08-22;2020-08-22;
United Kingdom;London;51.5072° N, 0.1276° W;2020-08-22;2020-08-24;
United Kingdom;Dover;51.1279° N, 1.3134° E;2020-08-24;2020-08-24;
United Kingdom;London;51.5072° N, 0.1276° W;2020-08-24;2020-08-26;
United Kingdom;Cardiff;51.4837° N, 3.1681° W;2020-08-26;2020-09-15;
Sweden;Stockholm;59.3327° N, 18.0656° E;2020-09-15;2021-01-01;
Türkiye;Istanbul;41.0082° N, 28.9784° E;2021-01-01;2021-01-10;
Sweden;Stockholm;59.3327° N, 18.0656° E;2021-01-10;2021-04-30;
Serbia;Belgrade;44.8125° N, 20.4612° E;2021-04-30;2021-05-07;
Serbia;Novi Sad;45.2396° N, 19.8227° E;2021-05-07;2021-05-07;
Serbia;Golubac;44.6529° N, 21.6322° E;2021-05-08;2021-05-08;
Serbia;Lepenski Vir;44.5566° N, 22.0265° E;2021-05-08;2021-05-08;
Serbia;Belgrade;44.8125° N, 20.4612° E;2021-05-08;2021-05-10;
Sweden;Stockholm;59.3327° N, 18.0656° E;2021-05-10;2021-07-14;
Greece;Thessaloniki;40.6401° N, 22.9444° E;2021-07-14;2021-07-18;
Greece;Kalabaka;39.7066° N, 21.6289° E;2021-07-18;2021-07-20;
Greece;Athens;37.9838° N, 23.7275° E;2021-07-20;2021-07-22;
Greece;Chania;35.5138° N, 24.0203° E;2021-07-22;2021-07-25;
Greece;Athens;37.9838° N, 23.7275° E;2021-07-25;2021-07-28;
Sweden;Stockholm;59.3327° N, 18.0656° E;2021-07-28;2021-07-21;
Sweden;Norrtälje;59.7596° N, 18.7014° E;2021-07-21;2021-07-22;
Sweden;Stockholm;59.3327° N, 18.0656° E;2021-07-22;2021-08-28;
Sweden;Västerås;59.6099° N, 16.5448° E;2021-08-28;2021-08-28;
Sweden;Stockholm;59.3327° N, 18.0656° E;2021-08-28;2021-09-25;
Austria;Vienna;48.2081° N, 16.3713° E;2021-09-25;2021-09-25;
Greece;Corfu;39.6243° N, 19.9217° E;2021-09-25;2021-10-06;
Sweden;Stockholm;59.3327° N, 18.0656° E;2021-10-06;2021-12-10;
Germany;Hamburg;53.5488° N, 9.9872° E;2021-12-10;2021-12-13;
Germany;Hanover;52.3759° N, 9.7320° E;2021-12-13;2021-12-18;
Germany;Nuremberg;49.4543° N, 11.0746° E;2021-12-18;2021-12-18;
Germany;Munich;48.1351° N, 11.5820° E;2021-12-18;2021-12-21;
Germany;Neuschwanstein Castle;47.5576° N, 10.7498° E;2021-12-21;2021-12-21;
Germany;Munich;48.1351° N, 11.5820° E;2021-12-21;2021-12-23;
Germany;Berlin;52.5200° N, 13.4050° E;2021-12-23;2021-12-25;
Germany;Dresden;51.0504° N, 13.7373° E;2021-12-25;2021-12-25;
Germany;Berlin;52.5200° N, 13.4050° E;2021-12-25;2021-12-28;
Denmark;Copenhagen;55.6761° N, 12.5683° E;2021-12-28;2022-01-02;
