country;city;coordinates;start_date;end_date;notes
Bulgaria;Sofia;42.6977° N, 23.3219° E;2023-12-25;2023-12-27;
Bulgaria;Rila Monastery;42.1335° N, 23.3402° E;2023-12-27;2023-12-27;
Bulgaria;Sofia;42.6977° N, 23.3219° E;2023-12-27;2023-12-30;
Bulgaria;Plovdiv;42.1354° N, 24.7453° E;2023-12-30;2023-12-30;
Bulgaria;Sofia;42.6977° N, 23.3219° E;2023-12-30;2024-01-01;
Sweden;Stockholm;59.3327° N, 18.0656° E;2024-01-01;2024-01-26;
Malta;Valletta;35.8992° N, 14.5141° E;2024-01-26;2024-01-29;
Sweden;Stockholm;59.3327° N, 18.0656° E;2024-01-29;2024-03-17;
Italy;Milan;45.4685° N, 9.1824° E;2024-03-17;2024-03-18;
Italy;Bologna;44.4949° N, 11.3426° E;2024-03-18;2024-03-21;
Italy;Pisa;43.7228° N, 10.4018° E;2024-03-21;2024-03-21;
Italy;Bologna;44.4949° N, 11.3426° E;2024-03-21;2024-03-23;
Spain;Madrid;40.4167° N, 3.7033° W;2024-03-23;2024-03-24;
Spain;Salamanca;40.9701° N, 5.6635° W;2024-03-24;2024-03-28;
Spain;Madrid;40.4167° N, 3.7033° W;2024-03-28;2024-03-29;
Austria;Vienna;48.2081° N, 16.3713° E;2024-03-29;2024-03-31;
Slovakia;Bratislava;48.1478° N, 17.1072° E;2024-03-31;2024-03-31;
Austria;Vienna;48.2081° N, 16.3713° E;2024-03-31;2024-04-01;
Sweden;Stockholm;59.3327° N, 18.0656° E;2024-04-01;2024-05-12;
Switzerland;Zurich;47.3769° N, 8.5417° E;2024-05-12;2024-05-12;
Switzerland;Lausanne;46.5197° N, 6.6323° E;2024-05-12;2024-05-25;
Sweden;Stockholm;59.3327° N, 18.0656° E;2024-05-25;2024-06-21;
Sweden;Norrtälje;59.7596° N, 18.7014° E;2024-06-21;2024-06-22;
Sweden;Stockholm;59.3327° N, 18.0656° E;2024-06-22;2024-07-25;
Qatar;Doha;25.2854° N, 51.5310° E;2024-07-25;2024-07-25;
South Africa;Johannesburg;26.2056° S, 28.0337° E;2024-07-25;2024-07-31;
South Africa;Pretoria;25.7566° S, 28.1914° E;2024-07-31;2024-07-31;
South Africa;Johannesburg;26.2056° S, 28.0337° E;2024-07-31;2024-08-05;
South Africa;Cape Town;33.9221° S, 18.4231° E;2024-08-05;2024-08-17;
Sweden;Stockholm;59.3327° N, 18.0656° E;2024-08-17;2025-07-11;
China;Wuxi;31.4910° N, 120.3124° E;2025-07-11;2025-07-17;
